run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,Pause_cont.started,Pause_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,0,0,0,0,Please remain seated until further instruction via the earphone.,58.06274199485779,None,267.5073549747467,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",267.5073549747467,None,267.5056819438935,None,"Please keep relaxed and open your eyes.
Note: Blinking is allowed.",290.52497911453247,470.53484892845154,473.93479800224304,None,487.93616104125977,None," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - Silent sound (blank): censored word            
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",487.93616104125977,None,487.9166437149048,None,527.337611913681,None,Listen to the question and speak out your answer!,530.4224200248718,None,530.418842792511,532.4214360713959,Das Radio informiert Autofahrer über Staus.,informiert,531.804772233963,None,535.3217783927918,None,547.0055364131928,548.005597114563,548.4056129455566,549.4056780338287,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1702/rec_QA_run_00_block_000_trial_000.wav,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1702,nibs_stage_1,3.2.3,59.98984508752534,
0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,551.4895129203796,None,551.4709651947022,553.4723091125488,Er möchte sich für meine Hilfe bedanken.,bedanken,552.8722864151001,None,555.5724533557892,None,568.073227262497,None,569.4732339382172,570.4732999801636,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1702/rec_QA_run_00_block_000_trial_001.wav,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1702,nibs_stage_1,3.2.3,59.98984508752534,
0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,572.5401859283447,None,572.538557434082,574.5401179790497,Ich habe gestern Abend mit meiner Mutter geredet.,geredet,573.9236622810364,576.7734820842743,577.1902364253998,None,589.1242142677307,None,590.5243101119995,591.5242750644684,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1702/rec_QA_run_00_block_000_trial_002.wav,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1702,nibs_stage_1,3.2.3,59.98984508752534,
0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,593.6079430580139,None,593.5897391319276,595.5912590026855,"Weil er so hungrig war, hat Franz einmal einen Apfel gestohlen.",gestohlen,594.9745133876801,598.7413129806519,599.1415353775025,600.1414511203766,610.1752453804016,None,611.5753419399261,612.575511932373,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1702/rec_QA_run_00_block_000_trial_003.wav,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1702,nibs_stage_1,3.2.3,59.98984508752534,
0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,614.642322063446,None,614.6240138530732,616.6255741119385,Wir sollen großen Wert auf die Sparsamkeit beim Wasser legen.,legen,616.0089343547821,619.6757318973541,620.0924314022064,None,631.2096122264862,None,632.6097130775452,633.6097340583801,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1702/rec_QA_run_00_block_000_trial_004.wav,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1702,nibs_stage_1,3.2.3,59.98984508752534,
0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,635.6933069229126,None,635.6751521110535,637.6767530441284,"Ich benutze mein Handy, um Textnachrichten zu senden.",senden,637.0599282741547,640.5601110458374,640.9768243789673,None,652.2607813835144,None,653.6607360839844,654.6609070301056,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1702/rec_QA_run_00_block_000_trial_005.wav,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1702,nibs_stage_1,3.2.3,59.98984508752534,
0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,656.7451729774475,None,656.742722415924,658.7443079948425,"Seine Freunde können seinen Worten nicht trauen, weil er immer lügt.",lügt,658.110870218277,661.9783129692078,662.39478931427,None,673.3118964195252,674.311980009079,674.7120180130005,675.7120270729065,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1702/rec_QA_run_00_block_000_trial_006.wav,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1702,nibs_stage_1,3.2.3,59.98984508752534,
0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,677.77911901474,None,677.7606827735901,679.7622981071472,"Bitte zieh deinen Mantel an, es ist kalt draußen.",zieh,679.1621192455292,None,682.6457072257996,None,694.3629683017731,695.363049030304,695.7630970478058,696.7633109092712,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1702/rec_QA_run_00_block_000_trial_007.wav,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1702,nibs_stage_1,3.2.3,59.98984508752534,
0,0,0,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,698.8300929069519,None,698.811913061142,700.829747915268,Bitte schließ die Tür!,schließ,700.1965642929077,701.6131129264832,702.0297723770142,703.0465040206909,715.3971072196961,None,716.8138709068298,None,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1702/rec_QA_run_00_block_000_trial_008.wav,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1702,nibs_stage_1,3.2.3,59.98984508752534,
0,0,0,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,719.8823909759521,None,719.8625061988831,721.8808250427246,"Um mein Auto zu kaufen, die Bank hat mir das Geld geliehen.",geliehen,721.2640694141388,724.7476439476013,725.097543334961,726.1143200397491,736.4648722171784,None,737.881630897522,None,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1702/rec_QA_run_00_block_000_trial_009.wav,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1702,nibs_stage_1,3.2.3,59.98984508752534,
0,0,0,0,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,740.9484860897064,None,740.9135999202729,742.9486041069031,Ich habe gestern einen interessanten Mann kennen gelernt.,kennen,742.3318172454834,745.6819360256195,746.0652771949768,None,757.5325563907624,None,758.9492769241333,None,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1702/rec_QA_run_00_block_000_trial_010.wav,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1702,nibs_stage_1,3.2.3,59.98984508752534,
0,0,0,0,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,762.0833959579468,None,762.0478437423707,764.0828649997711,Mein Freund schenkt mir eine Schachtel mit Schokolade.,schenkt,763.4662712574005,766.5162529945374,766.8997012138367,767.9164009094238,778.6503172874451,None,780.0670130252838,None,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1702/rec_QA_run_00_block_000_trial_011.wav,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1702,nibs_stage_1,3.2.3,59.98984508752534,
0,0,0,0,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,783.1180579662323,None,783.0990037441254,785.117527961731,Vater trinkt morgens eine Tasse Kaffee.,trinkt,784.5005522727967,787.117269039154,787.5006972312927,None,799.7013922691345,None,801.1180489063263,None,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1702/rec_QA_run_00_block_000_trial_012.wav,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1702,nibs_stage_1,3.2.3,59.98984508752534,
0,0,0,0,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,804.1849670410156,None,804.1500708580018,806.1849460601807,Das juristische Staatsexamen in Deutschland ist schwer zu bestehen.,bestehen,805.5682602882385,None,809.9684914112091,None,820.7690273284912,None,822.1859591007233,None,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1702/rec_QA_run_00_block_000_trial_013.wav,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1702,nibs_stage_1,3.2.3,59.98984508752534,
0,0,0,0,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,825.2197909355164,None,825.2010860919953,827.2193760871887,Morgen werden wir um sieben Uhr aufstehen.,aufstehen,826.6026412010193,829.1861200332642,829.569464302063,None,841.803405380249,842.820151090622,843.2201709747314,None,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1702/rec_QA_run_00_block_000_trial_014.wav,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1702,nibs_stage_1,3.2.3,59.98984508752534,
0,0,0,0,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,846.2542068958282,None,846.2188269615174,848.2537379264832,Muss ich mit dem Bus fahren oder kann ich zu Fuß gehen?,gehen,847.6370442867279,850.7210450172424,851.103868341446,None,862.8378242015839,None,864.2545568943024,None,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1702/rec_QA_run_00_block_000_trial_015.wav,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1702,nibs_stage_1,3.2.3,59.98984508752534,
