run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
1,0,1,0,1,0,1,0,15,0,15,0,Listen to the question and speak out your answer!,68.77590799331665,None,68.75969634056091,70.75944805145264,Der Bus fährt jede Stunde.,fährt,70.14291768074035,72.02621221542358,72.42618565559387,None,85.34351568222046,None,86.7436192035675,87.7436740398407,./data/Subject_08/Session_03/Exp_data/2020_Aug_07_1149/rec_QA_run_01_block_001_trial_015.wav,08,03,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,1,0,1,15,No,2020_Aug_07_1149,nibs_stage_1,3.2.3,59.98255283487832,
1,0,1,0,1,0,1,0,16,0,16,0,Listen to the question and speak out your answer!,89.79375505447388,None,89.77721552848816,91.77724123001099,Bitte schließ die Tür!,schließ,91.16052179336548,92.56059503555298,92.97724275588989,93.97729802131653,106.36121373176574,107.36134004592896,107.76136803627014,108.7616331577301,./data/Subject_08/Session_03/Exp_data/2020_Aug_07_1149/rec_QA_run_01_block_001_trial_016.wav,08,03,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,1,0,1,15,No,2020_Aug_07_1149,nibs_stage_1,3.2.3,59.98255283487832,
1,0,1,0,1,0,1,0,17,0,17,0,Listen to the question and speak out your answer!,110.81138610839844,None,110.79489831924438,112.79465222358704,"In Monaten ohne Regen trocknet die Erde so aus, dass sie ganz staubig wird.",staubig,112.17804770469665,116.87818908691406,117.2949357509613,None,127.37884383201599,None,128.77883005142212,129.77887415885925,./data/Subject_08/Session_03/Exp_data/2020_Aug_07_1149/rec_QA_run_01_block_001_trial_017.wav,08,03,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,1,0,1,15,No,2020_Aug_07_1149,nibs_stage_1,3.2.3,59.98255283487832,
1,0,1,0,1,0,1,0,18,0,18,0,Listen to the question and speak out your answer!,131.82907104492188,None,131.81268935203553,133.81278610229492,Er konnte auf alle Fragen des Quiz antworten.,antworten,133.19594674110414,135.92967104911804,136.34598164558412,None,148.39661269187928,None,149.79659605026245,150.79678201675415,./data/Subject_08/Session_03/Exp_data/2020_Aug_07_1149/rec_QA_run_01_block_001_trial_018.wav,08,03,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,1,0,1,15,No,2020_Aug_07_1149,nibs_stage_1,3.2.3,59.98255283487832,
1,0,1,0,1,0,1,0,19,0,19,0,Listen to the question and speak out your answer!,152.8468301296234,None,152.83039836883546,154.8302640914917,"Ich möchte, dass Sie das Wort mit Ihren eigenen Worten erklären!",erklären,154.21348481178285,158.04710221290588,158.46379475593568,None,169.4143527030945,170.41442012786865,170.81446409225464,171.81478905677795,./data/Subject_08/Session_03/Exp_data/2020_Aug_07_1149/rec_QA_run_01_block_001_trial_019.wav,08,03,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,1,0,1,15,No,2020_Aug_07_1149,nibs_stage_1,3.2.3,59.98255283487832,
1,0,1,0,1,0,1,0,20,0,20,0,Listen to the question and speak out your answer!,173.86467814445496,None,173.84838037490846,175.8480191230774,Der Artikel hat bereits genügend nützliche Hintergrundinformationen geliefert.,geliefert,175.24829177856446,179.96494007110596,180.381604719162,None,190.44879560470582,None,191.84888315200806,192.8492431640625,./data/Subject_08/Session_03/Exp_data/2020_Aug_07_1149/rec_QA_run_01_block_001_trial_020.wav,08,03,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,1,0,1,15,No,2020_Aug_07_1149,nibs_stage_1,3.2.3,59.98255283487832,
1,0,1,0,1,0,1,0,21,0,21,0,Listen to the question and speak out your answer!,194.8823699951172,None,194.86614446640016,196.86579418182373,Das Handbuch liefert eine Beschreibung des Geräts.,liefert,196.26577882766725,None,199.6326337337494,200.6327121257782,211.46656875610353,None,212.86664009094238,213.86669206619263,./data/Subject_08/Session_03/Exp_data/2020_Aug_07_1149/rec_QA_run_01_block_001_trial_021.wav,08,03,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,1,0,1,15,No,2020_Aug_07_1149,nibs_stage_1,3.2.3,59.98255283487832,
1,0,1,0,1,0,1,0,22,0,22,0,Listen to the question and speak out your answer!,215.916748046875,None,215.90026197433474,217.9002401828766,"Wir sollten in den Bus einsteigen, bevor er abfährt.",einsteigen,217.30020980834962,220.36705207824707,220.76706676483155,None,232.50101380348207,None,233.90109515190125,234.9017300605774,./data/Subject_08/Session_03/Exp_data/2020_Aug_07_1149/rec_QA_run_01_block_001_trial_022.wav,08,03,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,1,0,1,15,No,2020_Aug_07_1149,nibs_stage_1,3.2.3,59.98255283487832,
1,0,1,0,1,0,1,0,23,0,23,0,Listen to the question and speak out your answer!,236.95146918296814,None,236.9352999687195,238.93524622917175,Ferdinand Magellan hat als Erster die Welt umsegelt.,umsegelt,238.31813173294069,None,242.10200362205507,None,253.51896672248841,None,254.91905307769775,255.91912508010864,./data/Subject_08/Session_03/Exp_data/2020_Aug_07_1149/rec_QA_run_01_block_001_trial_023.wav,08,03,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,1,0,1,15,No,2020_Aug_07_1149,nibs_stage_1,3.2.3,59.98255283487832,
1,0,1,0,1,0,1,0,24,0,24,0,Listen to the question and speak out your answer!,257.9865782260895,None,257.9696899414063,259.9693160057068,Die Blumen in meinem Garten riechen gut.,riechen,259.36927967071534,261.85275316238403,262.25278668403627,263.25289702415466,274.57030563354493,None,275.97043013572693,276.9703299999237,./data/Subject_08/Session_03/Exp_data/2020_Aug_07_1149/rec_QA_run_01_block_001_trial_024.wav,08,03,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,1,0,1,15,No,2020_Aug_07_1149,nibs_stage_1,3.2.3,59.98255283487832,
