run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,Pause_cont.started,Pause_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,fade_out_text.text,fade_out_text.started,fade_out_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,0,0,0,0,Please remain seated until further instruction via the earphone.,69.90877413749695,None,279.33740997314453,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",279.33740997314453,None,279.33721060752873,None,"Please keep relaxed and open your eyes.
Note: Blinking is allowed.",302.3540599346161,482.3629629611969,485.7632169723511,None,500.24735403060913,None," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - Silent sound (blank): censored word            
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",500.24735403060913,None,500.2319969892502,None,539.6326360702515,None,Listen to the question and speak out your answer!,542.6993670463562,None,542.684199500084,544.6998310089111,Ich habe meine Schuhe für die Hochzeit geputzt.,geputzt,544.0828041791916,None,547.1164512395859,None,559.2838291883469,None,560.6838579177856,561.683923959732,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1107/rec_QA_run_00_block_000_trial_000.wav,,,,05,00,English,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1107,nibs_stage_1,3.2.3,59.9923334382241,
0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,563.7347679138184,None,563.7349747896195,565.7341349124908,Einige NGOs schützen die Rechte der Menschen.,schützen,565.1173481702805,None,568.534384226799,None,580.3181962728501,581.3182580471039,581.7183129787445,582.7183330059052,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1107/rec_QA_run_00_block_000_trial_001.wav,,,,05,00,English,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1107,nibs_stage_1,3.2.3,59.9923334382241,
0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,584.7853810787201,None,584.7693838357926,586.7685580253601,"Ich habe den Knopf gedrückt, um die Kaffeemaschine einzuschalten.",gedrückt,586.1518642663956,None,590.285386300087,None,601.3528113126755,None,602.7526869773865,603.7527310848236,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1107/rec_QA_run_00_block_000_trial_002.wav,,,,05,00,English,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1107,nibs_stage_1,3.2.3,59.9923334382241,
0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,605.8195741176605,None,605.8038987636567,607.8193850517273,"Ich muss einen Schirm holen, weil es regnet.",holen,607.2027091741562,None,610.2363831758499,None,622.4040722608567,623.4037499427795,623.8041441440582,624.8038079738617,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1107/rec_QA_run_00_block_000_trial_003.wav,,,,05,00,English,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1107,nibs_stage_1,3.2.3,59.9923334382241,
0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,626.8536911010742,None,626.83818359375,628.8538639545441,"Ich bin der Überzeugung, dass er es rechtzeitig schaffen kann.",schaffen,628.23718521595,631.8206050395966,632.2206592321396,633.2207069396973,643.4383241891861,None,644.838240146637,645.8382530212402,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1107/rec_QA_run_00_block_000_trial_004.wav,,,,05,00,English,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1107,nibs_stage_1,3.2.3,59.9923334382241,
0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,647.904923915863,None,647.8893038511277,649.8883690834045,Der Detektiv ist ihm bis zu seinem Haus gefolgt.,gefolgt,649.2884082555771,652.3052570819855,652.705620265007,None,664.4891903162003,None,665.8892140388489,666.8893411159515,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1107/rec_QA_run_00_block_000_trial_005.wav,,,,05,00,English,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1107,nibs_stage_1,3.2.3,59.9923334382241,
0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,668.9400000572205,None,668.9237167358399,670.9228699207306,"Ich sitze weit entfernt von der Bühne, also muss ich durch ein Fernglas schauen.",schauen,670.3228442430496,None,675.1396782159806,676.1397840976715,685.5236482381821,None,686.9235961437225,687.9237449169159,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1107/rec_QA_run_00_block_000_trial_006.wav,,,,05,00,English,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1107,nibs_stage_1,3.2.3,59.9923334382241,
0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,689.9906160831451,None,689.9747957468034,691.9739580154419,Marco hat gestern einen Brief an seine Eltern geschrieben.,geschrieben,691.357275223732,694.6907720565796,695.090776181221,696.0908751487732,706.558055138588,707.558079957962,707.9581079483032,708.958202123642,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1107/rec_QA_run_00_block_000_trial_007.wav,,,,05,00,English,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1107,nibs_stage_1,3.2.3,59.9923334382241,
0,0,0,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,711.0415160655975,None,711.02587287426,713.0250370502472,Das Kleid wird fünfzehn Euro kosten.,kosten,712.4083783388138,None,715.2252533197403,None,727.6091263055802,728.6089520454407,729.0089819431305,730.0091910362244,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1107/rec_QA_run_00_block_000_trial_008.wav,,,,05,00,English,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1107,nibs_stage_1,3.2.3,59.9923334382241,
0,0,0,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,732.0758221149445,None,732.06030459404,734.0759239196777,"Bevor man eine Orange essen kann, muss man sie erst schneiden oder schälen.",schälen,733.4428782224655,737.7930960655212,738.1927733182907,739.1929500102997,748.6435072183609,None,750.0602450370789,751.0605449676514,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1107/rec_QA_run_00_block_000_trial_009.wav,,,,05,00,English,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1107,nibs_stage_1,3.2.3,59.9923334382241,
