run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,Cali_de_post_rec_text.text,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.text,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,the_end_text.started,the_end_text.stopped,the_end_text.text,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
3,0,3,0,1,0,1,0,8,0,8,0,,,,,Listen to the question and speak out your answer!,66.43418502807617,None,66.42665541172028,68.43416714668274,"Er probierte, die Tür mit dem falschen Schlüssel zu öffnen.",öffnen,67.81751072406769,71.23437094688416,71.63436567783356,None,83.01830780506134,None,84.41840505599976,85.41836595535278,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_QA_run_03_block_001_trial_008.wav,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
3,0,3,0,1,0,1,0,9,0,9,0,,,,,Listen to the question and speak out your answer!,87.45191407203674,None,87.43334305286407,89.43540406227112,Viele Zettel sind an der Wand gehängt.,gehängt,88.81861984729767,None,91.40208876132965,92.40215396881104,104.01944768428802,105.01948809623718,105.41963815689087,106.41955709457397,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_QA_run_03_block_001_trial_009.wav,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
3,0,3,0,1,0,1,0,10,0,10,0,,,,,Listen to the question and speak out your answer!,108.46965599060059,None,108.45128905773163,110.45310497283936,"Ich kenne dieses Wort nicht, was bedeutet es also?",bedeutet,109.83646976947784,113.05323600769043,113.46991980075836,None,125.03716886043549,126.03723812103271,126.43735814094543,127.43724393844604,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_QA_run_03_block_001_trial_010.wav,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
3,0,3,0,1,0,1,0,11,0,11,0,,,,,Listen to the question and speak out your answer!,129.48753595352173,None,129.4691082239151,131.4708549976349,"Nachdem er nach dem Flugzeugunglück gerettet wurde, hat er an Gott geglaubt.",geglaubt,130.8541647195816,None,135.6710797548294,136.67113709449768,146.05499374866486,None,147.45501494407654,148.4552230834961,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_QA_run_03_block_001_trial_011.wav,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
3,0,3,0,1,0,1,0,12,0,12,0,,,,,Listen to the question and speak out your answer!,150.5220170021057,None,150.50347590446472,152.50528502464294,Während oder nach einem Regen kann man einen Regenbogen vorsehen.,vorsehen,151.88855969905853,None,156.17217981815338,None,167.08958971500397,None,168.48978304862976,169.48974013328552,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_QA_run_03_block_001_trial_012.wav,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
3,0,3,0,1,0,1,0,13,0,13,0,,,,,Listen to the question and speak out your answer!,171.55638599395752,None,171.5380609035492,173.54011702537537,Ich habe alle meine Freunde zu meiner Geburtstags Party eingeladen.,eingeladen,172.9399026632309,177.04014992713928,177.45683085918427,None,188.14072167873383,None,189.54080510139465,190.5408480167389,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_QA_run_03_block_001_trial_013.wav,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
3,0,3,0,1,0,1,0,14,0,14,0,,,,,Listen to the question and speak out your answer!,192.5909390449524,None,192.5724778175354,194.57452297210693,Ein König wohnt in einem Schloss.,wohnt,193.97435176372528,None,196.32446467876434,None,209.1751538515091,None,210.57524013519287,211.57534503936768,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_QA_run_03_block_001_trial_014.wav,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
3,0,3,0,1,0,1,0,15,0,15,0,,,,,Listen to the question and speak out your answer!,213.6419961452484,None,213.6236275434494,215.62551403045654,"Wie lange benötigt die Erde, um die Sonne zu umrunden?",benötigt,215.02564465999603,None,218.94236075878143,None,230.22627985477448,None,231.62658500671387,232.62632608413696,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_QA_run_03_block_001_trial_015.wav,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
3,0,3,0,1,0,1,0,16,0,16,0,,,,,Listen to the question and speak out your answer!,234.67659211158752,None,234.65795588493347,236.65998697280884,Singapore liegt in Südostasien.,liegt,236.05985867977142,238.51007509231567,238.91009485721588,None,251.26065981388092,None,252.66059398651123,253.66105914115906,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_QA_run_03_block_001_trial_016.wav,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
3,0,3,0,1,0,1,0,17,0,17,0,,,,,Listen to the question and speak out your answer!,255.7775640487671,None,255.75929975509644,257.7611300945282,Am nächsten Bahnhof muss ich aus dem Zug aussteigen.,aussteigen,257.144340634346,260.24450397491455,260.64452970027924,None,272.34519374370575,None,273.7452690601349,274.74533700942993,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_QA_run_03_block_001_trial_017.wav,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
