Fr, 14 Aug 2020 12:41:39 +0000  fade_in 1 3 None None
Fr, 14 Aug 2020 12:42:09 +0000  fade_in 0 3 None None
Fr, 14 Aug 2020 12:42:11 +0000  RS_intro 1 3 0 None
Fr, 14 Aug 2020 12:42:34 +0000  RS_intro 0 3 0 None
Fr, 14 Aug 2020 12:42:34 +0000  RS_rec 1 3 0 None
Fr, 14 Aug 2020 12:45:37 +0000  RS_rec 0 3 open None
Fr, 14 Aug 2020 12:45:37 +0000  RS_intro 1 3 1 None
Fr, 14 Aug 2020 12:46:00 +0000  RS_intro 0 3 1 None
Fr, 14 Aug 2020 12:46:00 +0000  RS_rec 1 3 1 None
Fr, 14 Aug 2020 12:49:03 +0000  RS_rec 0 3 close None
Fr, 14 Aug 2020 12:49:18 +0000  QA_intro 1 3 None None
Fr, 14 Aug 2020 12:49:59 +0000  QA_intro 0 3 None None
Fr, 14 Aug 2020 12:50:01 +0000  QA_rec 1 3 0 0
Fr, 14 Aug 2020 12:50:21 +0000  QA_rec 0 3 0 0
Fr, 14 Aug 2020 12:50:21 +0000  Run-3, Block-0, Trial-0, Q_cnt-150, Q_sen-Ist es für den Vermieter möglich, den Mieter nach der Rechtslage zu kündigen?, Q_cen-kündigen
Fr, 14 Aug 2020 12:50:22 +0000  QA_rec 1 3 0 1
Fr, 14 Aug 2020 12:50:42 +0000  QA_rec 0 3 0 1
Fr, 14 Aug 2020 12:50:42 +0000  Run-3, Block-0, Trial-1, Q_cnt-151, Q_sen-Im Weltraum kann man keinen Ton hören., Q_cen-hören
Fr, 14 Aug 2020 12:50:43 +0000  QA_rec 1 3 0 2
Fr, 14 Aug 2020 12:51:03 +0000  QA_rec 0 3 0 2
Fr, 14 Aug 2020 12:51:03 +0000  Run-3, Block-0, Trial-2, Q_cnt-152, Q_sen-Da Elena arbeiten muss, überlässt sie ihre Kinder seiner Mutter., Q_cen-überlässt
Fr, 14 Aug 2020 12:51:04 +0000  QA_rec 1 3 0 3
Fr, 14 Aug 2020 12:51:24 +0000  QA_rec 0 3 0 3
Fr, 14 Aug 2020 12:51:24 +0000  Run-3, Block-0, Trial-3, Q_cnt-153, Q_sen-Trotz meines Verbots hat er sein Auto vor meinem Haus geparkt., Q_cen-geparkt
Fr, 14 Aug 2020 12:51:25 +0000  QA_rec 1 3 0 4
Fr, 14 Aug 2020 12:51:45 +0000  QA_rec 0 3 0 4
Fr, 14 Aug 2020 12:51:45 +0000  Run-3, Block-0, Trial-4, Q_cnt-154, Q_sen-Es hat die ganze Woche geregnet, aber heute scheint endlich die Sonne. , Q_cen-scheint
Fr, 14 Aug 2020 12:51:46 +0000  QA_rec 1 3 0 5
Fr, 14 Aug 2020 12:52:06 +0000  QA_rec 0 3 0 5
Fr, 14 Aug 2020 12:52:06 +0000  Run-3, Block-0, Trial-5, Q_cnt-155, Q_sen-Im Unterricht habe ich das Wichtige notiert, was der Lehrer gesagt., Q_cen-notiert
Fr, 14 Aug 2020 12:52:07 +0000  QA_rec 1 3 0 6
Fr, 14 Aug 2020 12:52:27 +0000  QA_rec 0 3 0 6
Fr, 14 Aug 2020 12:52:27 +0000  Run-3, Block-0, Trial-6, Q_cnt-156, Q_sen-Solange es regnet, bleiben wir hier., Q_cen-bleiben
Fr, 14 Aug 2020 12:52:28 +0000  QA_rec 1 3 0 7
Fr, 14 Aug 2020 12:52:48 +0000  QA_rec 0 3 0 7
Fr, 14 Aug 2020 12:52:48 +0000  Run-3, Block-0, Trial-7, Q_cnt-157, Q_sen-Ich besuche dieses Wochenende meine Eltern., Q_cen-besuche
Fr, 14 Aug 2020 12:52:49 +0000  QA_rec 1 3 0 8
Fr, 14 Aug 2020 12:53:09 +0000  QA_rec 0 3 0 8
Fr, 14 Aug 2020 12:53:09 +0000  Run-3, Block-0, Trial-8, Q_cnt-158, Q_sen-Junge Leute machen gerne Partys., Q_cen-machen
Fr, 14 Aug 2020 12:53:10 +0000  QA_rec 1 3 0 9
Fr, 14 Aug 2020 12:53:30 +0000  QA_rec 0 3 0 9
Fr, 14 Aug 2020 12:53:30 +0000  Run-3, Block-0, Trial-9, Q_cnt-159, Q_sen-Peter interessiert sich sehr für Geschichte., Q_cen-interessiert
Fr, 14 Aug 2020 12:53:31 +0000  QA_rec 1 3 0 10
Fr, 14 Aug 2020 12:53:52 +0000  QA_rec 0 3 0 10
Fr, 14 Aug 2020 12:53:52 +0000  Run-3, Block-0, Trial-10, Q_cnt-160, Q_sen-Die Regierung plant, mehr Arbeitsplätze für junge Menschen zu schaffen., Q_cen-schaffen
Fr, 14 Aug 2020 12:53:53 +0000  QA_rec 1 3 0 11
Fr, 14 Aug 2020 12:54:13 +0000  QA_rec 0 3 0 11
Fr, 14 Aug 2020 12:54:13 +0000  Run-3, Block-0, Trial-11, Q_cnt-161, Q_sen-Viele Zettel sind an der Wand gehängt., Q_cen-gehängt
Fr, 14 Aug 2020 12:54:14 +0000  QA_rec 1 3 0 12
Fr, 14 Aug 2020 12:54:34 +0000  QA_rec 0 3 0 12
Fr, 14 Aug 2020 12:54:34 +0000  Run-3, Block-0, Trial-12, Q_cnt-162, Q_sen-Zum Geburtstag hat ihm Oma ein Buch mit vielen Bildern geschenkt., Q_cen-geschenkt
Fr, 14 Aug 2020 12:54:35 +0000  QA_rec 1 3 0 13
Fr, 14 Aug 2020 12:54:55 +0000  QA_rec 0 3 0 13
Fr, 14 Aug 2020 12:54:55 +0000  Run-3, Block-0, Trial-13, Q_cnt-163, Q_sen-Der ganze Kursus besichtigte die Ausstellung., Q_cen-besichtigte
Fr, 14 Aug 2020 12:54:56 +0000  QA_rec 1 3 0 14
Fr, 14 Aug 2020 12:55:16 +0000  QA_rec 0 3 0 14
