So, 26 Jul 2020 16:56:28 +0000  QA_intro 1 0 None None
So, 26 Jul 2020 16:57:09 +0000  QA_intro 0 0 None None
So, 26 Jul 2020 16:57:11 +0000  QA_rec 1 0 1 0
So, 26 Jul 2020 16:57:31 +0000  QA_rec 0 0 1 0
So, 26 Jul 2020 16:57:31 +0000  Run-0, Block-1, Trial-0, Q_cnt-25, Q_sen-Florian habe so lange Beine, deshalb trage er nur lange Hosen., Q_cen-trage
So, 26 Jul 2020 16:57:32 +0000  QA_rec 1 0 1 1
So, 26 Jul 2020 16:57:52 +0000  QA_rec 0 0 1 1
So, 26 Jul 2020 16:57:52 +0000  Run-0, Block-1, Trial-1, Q_cnt-26, Q_sen-Meine Fenster sind schmutzig, ich muss sie putzen., Q_cen-putzen
So, 26 Jul 2020 16:57:53 +0000  QA_rec 1 0 1 2
So, 26 Jul 2020 16:58:13 +0000  QA_rec 0 0 1 2
So, 26 Jul 2020 16:58:13 +0000  Run-0, Block-1, Trial-2, Q_cnt-27, Q_sen-Ist der Tisch schon gedeckt?, Q_cen-gedeckt
So, 26 Jul 2020 16:58:14 +0000  QA_rec 1 0 1 3
So, 26 Jul 2020 16:58:34 +0000  QA_rec 0 0 1 3
So, 26 Jul 2020 16:58:34 +0000  Run-0, Block-1, Trial-3, Q_cnt-28, Q_sen-Ich muss für meine wichtige Prüfung morgen lernen., Q_cen-lernen
So, 26 Jul 2020 16:58:35 +0000  QA_rec 1 0 1 4
So, 26 Jul 2020 16:58:55 +0000  QA_rec 0 0 1 4
So, 26 Jul 2020 16:58:55 +0000  Run-0, Block-1, Trial-4, Q_cnt-29, Q_sen-Ich habe alle meine Freunde zu meiner Geburtstags Party eingeladen., Q_cen-eingeladen
So, 26 Jul 2020 16:58:56 +0000  QA_rec 1 0 1 5
So, 26 Jul 2020 16:59:16 +0000  QA_rec 0 0 1 5
So, 26 Jul 2020 16:59:16 +0000  Run-0, Block-1, Trial-5, Q_cnt-30, Q_sen-Ich habe mir ein neues Ziel gesetzt, das ich erreichen möchte., Q_cen-erreichen
So, 26 Jul 2020 16:59:17 +0000  QA_rec 1 0 1 6
So, 26 Jul 2020 16:59:37 +0000  QA_rec 0 0 1 6
So, 26 Jul 2020 16:59:37 +0000  Run-0, Block-1, Trial-6, Q_cnt-31, Q_sen-Im Frühling besuchen viele Touristen unserer Hauptstadt., Q_cen-besuchen
So, 26 Jul 2020 16:59:38 +0000  QA_rec 1 0 1 7
So, 26 Jul 2020 16:59:58 +0000  QA_rec 0 0 1 7
So, 26 Jul 2020 16:59:58 +0000  Run-0, Block-1, Trial-7, Q_cnt-32, Q_sen-Ich muss den Anzug vor der Geschäftsreise in den Koffer einpacken., Q_cen-einpacken
So, 26 Jul 2020 16:59:59 +0000  QA_rec 1 0 1 8
So, 26 Jul 2020 17:00:19 +0000  QA_rec 0 0 1 8
So, 26 Jul 2020 17:00:19 +0000  Run-0, Block-1, Trial-8, Q_cnt-33, Q_sen-Können Sie mir einen guten Augenarzt empfehlen?, Q_cen-empfehlen
So, 26 Jul 2020 17:00:20 +0000  QA_rec 1 0 1 9
So, 26 Jul 2020 17:00:40 +0000  QA_rec 0 0 1 9
So, 26 Jul 2020 17:00:40 +0000  Run-0, Block-1, Trial-9, Q_cnt-34, Q_sen-Um mein Auto zu kaufen, die Bank hat mir das Geld geliehen., Q_cen-geliehen
So, 26 Jul 2020 17:00:41 +0000  QA_rec 1 0 1 10
So, 26 Jul 2020 17:01:01 +0000  QA_rec 0 0 1 10
So, 26 Jul 2020 17:01:01 +0000  Run-0, Block-1, Trial-10, Q_cnt-35, Q_sen-Wir haben den Empfang der Sendung bestätigt., Q_cen-bestätigt
So, 26 Jul 2020 17:01:02 +0000  QA_rec 1 0 1 11
So, 26 Jul 2020 17:01:22 +0000  QA_rec 0 0 1 11
So, 26 Jul 2020 17:01:22 +0000  Run-0, Block-1, Trial-11, Q_cnt-36, Q_sen-An unserem Baum hängen viele reife Birnen, Q_cen-hängen
So, 26 Jul 2020 17:01:23 +0000  QA_rec 1 0 1 12
So, 26 Jul 2020 17:01:43 +0000  QA_rec 0 0 1 12
So, 26 Jul 2020 17:01:43 +0000  Run-0, Block-1, Trial-12, Q_cnt-37, Q_sen-Ihre Freundlichkeit gab mir ein Gefühl von Sicherheit., Q_cen-gab
So, 26 Jul 2020 17:01:44 +0000  QA_rec 1 0 1 13
So, 26 Jul 2020 17:02:04 +0000  QA_rec 0 0 1 13
So, 26 Jul 2020 17:02:04 +0000  Run-0, Block-1, Trial-13, Q_cnt-38, Q_sen-Das Essen riecht so gut, was kochst du heute?, Q_cen-kochst
So, 26 Jul 2020 17:02:05 +0000  QA_rec 1 0 1 14
So, 26 Jul 2020 17:02:25 +0000  QA_rec 0 0 1 14
So, 26 Jul 2020 17:02:25 +0000  Run-0, Block-1, Trial-14, Q_cnt-39, Q_sen-Die Katzen jagen Mäuse., Q_cen-jagen
