Mo, 13 Jul 2020 17:34:13 +0000  QA_rec 1 0 1 0
Mo, 13 Jul 2020 17:34:33 +0000  QA_rec 0 0 1 0
Mo, 13 Jul 2020 17:34:33 +0000  Run-0, Block-1, Trial-0, Q_cnt-25, Q_sen-Wir müssen Mittel und Wege finden, um das zu ändern., Q_cen-finden
Mo, 13 Jul 2020 17:34:34 +0000  QA_rec 1 0 1 1
Mo, 13 Jul 2020 17:34:54 +0000  QA_rec 0 0 1 1
Mo, 13 Jul 2020 17:34:54 +0000  Run-0, Block-1, Trial-1, Q_cnt-26, Q_sen-Können Sie mir auf Hundert Euro herausgeben?, Q_cen-herausgeben
Mo, 13 Jul 2020 17:34:55 +0000  QA_rec 1 0 1 2
Mo, 13 Jul 2020 17:35:15 +0000  QA_rec 0 0 1 2
Mo, 13 Jul 2020 17:35:15 +0000  Run-0, Block-1, Trial-2, Q_cnt-27, Q_sen-Damit Pflanzen gut wachsen, müssen wir sie mehr Wasser gießen., Q_cen-gießen
Mo, 13 Jul 2020 17:35:16 +0000  QA_rec 1 0 1 3
Mo, 13 Jul 2020 17:35:37 +0000  QA_rec 0 0 1 3
Mo, 13 Jul 2020 17:35:37 +0000  Run-0, Block-1, Trial-3, Q_cnt-28, Q_sen-Seine Großmutter kann ganz spannend erzählen., Q_cen-erzählen
Mo, 13 Jul 2020 17:35:38 +0000  QA_rec 1 0 1 4
Mo, 13 Jul 2020 17:35:58 +0000  QA_rec 0 0 1 4
Mo, 13 Jul 2020 17:35:58 +0000  Run-0, Block-1, Trial-4, Q_cnt-29, Q_sen-Früh übt sich, wer ein Meister werden will., Q_cen-werden
Mo, 13 Jul 2020 17:35:59 +0000  QA_rec 1 0 1 5
Mo, 13 Jul 2020 17:36:19 +0000  QA_rec 0 0 1 5
Mo, 13 Jul 2020 17:36:19 +0000  Run-0, Block-1, Trial-5, Q_cnt-30, Q_sen-Durch ein Fernrohr kann man manchmal sogar die Venus sehen., Q_cen-sehen
Mo, 13 Jul 2020 17:36:20 +0000  QA_rec 1 0 1 6
Mo, 13 Jul 2020 17:36:40 +0000  QA_rec 0 0 1 6
Mo, 13 Jul 2020 17:36:40 +0000  Run-0, Block-1, Trial-6, Q_cnt-31, Q_sen-Dieser Supermarkt hat nur am Tage geöffnet., Q_cen-geöffnet
Mo, 13 Jul 2020 17:36:41 +0000  QA_rec 1 0 1 7
Mo, 13 Jul 2020 17:37:01 +0000  QA_rec 0 0 1 7
Mo, 13 Jul 2020 17:37:01 +0000  Run-0, Block-1, Trial-7, Q_cnt-32, Q_sen-Um eine Kreditkarte zu bewerben, muss man älter als 18 werden. , Q_cen-bewerben
Mo, 13 Jul 2020 17:37:02 +0000  QA_rec 1 0 1 8
Mo, 13 Jul 2020 17:37:22 +0000  QA_rec 0 0 1 8
Mo, 13 Jul 2020 17:37:22 +0000  Run-0, Block-1, Trial-8, Q_cnt-33, Q_sen-Die Hausfrau muss jeden Tag Lebensmittel einkaufen., Q_cen-einkaufen
Mo, 13 Jul 2020 17:37:23 +0000  QA_rec 1 0 1 9
Mo, 13 Jul 2020 17:37:43 +0000  QA_rec 0 0 1 9
Mo, 13 Jul 2020 17:37:43 +0000  Run-0, Block-1, Trial-9, Q_cnt-34, Q_sen-Wenn ich mich gestresst fühle, muss ich mich selbst daran erinnern, ruhig zu bleiben., Q_cen-erinnern
Mo, 13 Jul 2020 17:37:44 +0000  QA_rec 1 0 1 10
Mo, 13 Jul 2020 17:38:04 +0000  QA_rec 0 0 1 10
Mo, 13 Jul 2020 17:38:04 +0000  Run-0, Block-1, Trial-10, Q_cnt-35, Q_sen-Herr Müller hat einen Flug auf die Mittelmeerinsel Mallorca gebucht., Q_cen-gebucht
Mo, 13 Jul 2020 17:38:05 +0000  QA_rec 1 0 1 11
Mo, 13 Jul 2020 17:38:25 +0000  QA_rec 0 0 1 11
Mo, 13 Jul 2020 17:38:25 +0000  Run-0, Block-1, Trial-11, Q_cnt-36, Q_sen-Die Tür bewegt sich nur, wenn man mit viel Kraft dagegen drückt., Q_cen-drückt
Mo, 13 Jul 2020 17:38:26 +0000  QA_rec 1 0 1 12
Mo, 13 Jul 2020 17:38:46 +0000  QA_rec 0 0 1 12
Mo, 13 Jul 2020 17:38:46 +0000  Run-0, Block-1, Trial-12, Q_cnt-37, Q_sen-Er wird die Wurst mit Butter braten., Q_cen-braten
Mo, 13 Jul 2020 17:38:47 +0000  QA_rec 1 0 1 13
Mo, 13 Jul 2020 17:39:07 +0000  QA_rec 0 0 1 13
