run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,Pause_cont.started,Pause_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,fade_out_text.text,fade_out_text.started,fade_out_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
3,0,3,0,0,0,0,0,0,0,0,0,Please remain seated until further instruction via the earphone.,56.737720012664795,None,266.13245582580566,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",266.13245582580566,None,266.11548767089846,None,"Please keep relaxed and open your eyes.
Note: Blinking is allowed.",289.1665589809418,469.17620491981506,472.54308581352234,None,486.5769958496094,None," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - Silent sound (blank): censored word            
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",486.5769958496094,None,486.5593567848206,None,525.9456179141998,None,Listen to the question and speak out your answer!,529.0291349887848,None,529.011588525772,531.0125398635864,"Deine Haare sind so kurz, warst du beim Friseur?",warst,530.3958428382873,533.4795608520508,533.9129639148712,None,545.5969849109649,None,546.9969289302826,547.9970088005066,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1856/rec_QA_run_03_block_000_trial_000.wav,,,,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Aug_06_1856,nibs_stage_1,3.2.3,60.026934311479145,
3,0,3,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,550.0802268981934,None,550.0632165908813,552.0637547969818,"Ich geht auf das Postamt, um ein Paket meinem Freund zu schicken.",schicken,551.4469428539276,555.3140428066254,555.7307177066803,None,566.6479557037353,None,568.0480298995972,569.0481219291687,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1856/rec_QA_run_03_block_000_trial_001.wav,,,,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Aug_06_1856,nibs_stage_1,3.2.3,60.026934311479145,
3,0,3,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,571.1149168014526,None,571.097641801834,573.0982158184052,Morgen ändert sich das Wetter ganz bestimmt.,bestimmt,572.4816108226776,None,575.3150978565216,None,587.6821828365325,588.6821630001068,589.0822508335114,590.0823140144348,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1856/rec_QA_run_03_block_000_trial_002.wav,,,,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Aug_06_1856,nibs_stage_1,3.2.3,60.026934311479145,
3,0,3,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,592.1491138935089,None,592.1318608283996,594.1325318813324,Die Wassermelone schmeckt sehr süß.,schmeckt,593.5158107757568,595.9493730068207,596.3660429000854,None,608.7332818984985,None,610.1501188278198,None,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1856/rec_QA_run_03_block_000_trial_003.wav,,,,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Aug_06_1856,nibs_stage_1,3.2.3,60.026934311479145,
3,0,3,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,613.200758934021,None,613.1829696655273,615.2003660202026,Mein Vater arbeitet in einer Papierfabrik.,arbeitet,614.5837717533111,617.4338338375092,617.8172457695007,618.8339068889618,629.7845209121704,None,631.2013058662415,None,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1856/rec_QA_run_03_block_000_trial_004.wav,,,,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Aug_06_1856,nibs_stage_1,3.2.3,60.026934311479145,
3,0,3,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,634.2346420288086,None,634.2175429344177,636.2348289489746,Das Friedensabkommen hat den Krieg beendet.,beendet,635.618107843399,None,638.55160074234,639.5683538913727,650.8188198089599,651.8355469703674,652.2355499267578,None,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1856/rec_QA_run_03_block_000_trial_005.wav,,,,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Aug_06_1856,nibs_stage_1,3.2.3,60.026934311479145,
3,0,3,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,655.2862029075623,None,655.2684818267821,657.2857389450073,Wir haben während des Urlaubs ein gemütliches Zimmer in Meeresnähe gemietet.,gemietet,656.6691208362579,None,661.5693917751312,662.5860970020294,671.8699577331543,None,673.2866768836975,None,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1856/rec_QA_run_03_block_000_trial_006.wav,,,,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Aug_06_1856,nibs_stage_1,3.2.3,60.026934311479145,
3,0,3,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,676.3541059494019,None,676.319592809677,678.3535988330841,"Da der Koffer bereits zu schwer ist, muss ich leichte Kleidung einpacken.",einpacken,677.7369008541107,None,682.2037058353424,None,692.9377236843109,None,694.3544328212738,None,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1856/rec_QA_run_03_block_000_trial_007.wav,,,,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Aug_06_1856,nibs_stage_1,3.2.3,60.026934311479145,
3,0,3,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,697.3880269527435,None,697.3540328502654,699.3880138397217,"Wenn du dich in einer gefährlichen Situation befindest, rufe nach Hilfe.",rufe,698.7713687896728,None,703.6717067241668,None,713.9721367835998,714.9888389110565,715.3888578414917,None,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1856/rec_QA_run_03_block_000_trial_008.wav,,,,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Aug_06_1856,nibs_stage_1,3.2.3,60.026934311479145,
3,0,3,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,718.42236495018,None,718.4051536560058,720.4224538803101,"Nach einem Match hat sie keine Stimme mehr,  weil sie so laut schreit.",schreit,719.8057597160339,None,724.0393107414245,None,735.0065467834472,None,736.4232938289642,None,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1856/rec_QA_run_03_block_000_trial_009.wav,,,,09,01,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Aug_06_1856,nibs_stage_1,3.2.3,60.026934311479145,
