Di, 11 Aug 2020 11:31:35 +0000  fade_in 1 1 None None
Di, 11 Aug 2020 11:32:10 +0000  fade_in 0 1 None None
Di, 11 Aug 2020 11:32:12 +0000  RS_intro 1 1 0 None
Di, 11 Aug 2020 11:32:35 +0000  RS_intro 0 1 0 None
Di, 11 Aug 2020 11:32:35 +0000  RS_rec 1 1 0 None
Di, 11 Aug 2020 11:35:38 +0000  RS_rec 0 1 open None
Di, 11 Aug 2020 11:35:38 +0000  RS_intro 1 1 1 None
Di, 11 Aug 2020 11:36:01 +0000  RS_intro 0 1 1 None
Di, 11 Aug 2020 11:36:01 +0000  RS_rec 1 1 1 None
Di, 11 Aug 2020 11:39:05 +0000  RS_rec 0 1 close None
Di, 11 Aug 2020 11:39:20 +0000  QA_intro 1 1 None None
Di, 11 Aug 2020 11:40:01 +0000  QA_intro 0 1 None None
Di, 11 Aug 2020 11:40:03 +0000  QA_rec 1 1 0 0
Di, 11 Aug 2020 11:40:23 +0000  QA_rec 0 1 0 0
Di, 11 Aug 2020 11:40:23 +0000  Run-1, Block-0, Trial-0, Q_cnt-50, Q_sen-Fabienne ist Ärztin und arbeitet im Krankenhaus., Q_cen-arbeitet
Di, 11 Aug 2020 11:40:24 +0000  QA_rec 1 1 0 1
Di, 11 Aug 2020 11:40:44 +0000  QA_rec 0 1 0 1
Di, 11 Aug 2020 11:40:44 +0000  Run-1, Block-0, Trial-1, Q_cnt-51, Q_sen-Wir müssen jemanden mit mehr Erfahrung für diese wichtige Position einstellen., Q_cen-einstellen
Di, 11 Aug 2020 11:40:45 +0000  QA_rec 1 1 0 2
Di, 11 Aug 2020 11:41:05 +0000  QA_rec 0 1 0 2
Di, 11 Aug 2020 11:41:05 +0000  Run-1, Block-0, Trial-2, Q_cnt-52, Q_sen-Wenn Sie mit dem Vertrag nicht zufrieden sind, können Sie ihn vor seinem Ablauf kündigen., Q_cen-kündigen
Di, 11 Aug 2020 11:41:06 +0000  QA_rec 1 1 0 3
Di, 11 Aug 2020 11:41:26 +0000  QA_rec 0 1 0 3
Di, 11 Aug 2020 11:41:26 +0000  Run-1, Block-0, Trial-3, Q_cnt-53, Q_sen-Salz und Pfeffer machten das Steak genießbar., Q_cen-machten
Di, 11 Aug 2020 11:41:27 +0000  QA_rec 1 1 0 4
Di, 11 Aug 2020 11:41:47 +0000  QA_rec 0 1 0 4
Di, 11 Aug 2020 11:41:47 +0000  Run-1, Block-0, Trial-4, Q_cnt-54, Q_sen-Sie hat Schlafmittel genommen, damit sie gut schlafen kann., Q_cen-schlafen
Di, 11 Aug 2020 11:41:48 +0000  QA_rec 1 1 0 5
Di, 11 Aug 2020 11:42:08 +0000  QA_rec 0 1 0 5
Di, 11 Aug 2020 11:42:08 +0000  Run-1, Block-0, Trial-5, Q_cnt-55, Q_sen-Er legte das Messer und die Gabel neben den Teller., Q_cen-legte
Di, 11 Aug 2020 11:42:09 +0000  QA_rec 1 1 0 6
Di, 11 Aug 2020 11:42:29 +0000  QA_rec 0 1 0 6
Di, 11 Aug 2020 11:42:29 +0000  Run-1, Block-0, Trial-6, Q_cnt-56, Q_sen-Das Essen riecht so gut, was kochst du heute?, Q_cen-kochst
Di, 11 Aug 2020 11:42:30 +0000  QA_rec 1 1 0 7
Di, 11 Aug 2020 11:42:50 +0000  QA_rec 0 1 0 7
Di, 11 Aug 2020 11:42:50 +0000  Run-1, Block-0, Trial-7, Q_cnt-57, Q_sen-Die Fische leben in Flüssen , Seen und Meeren., Q_cen-leben
Di, 11 Aug 2020 11:42:51 +0000  QA_rec 1 1 0 8
Di, 11 Aug 2020 11:43:11 +0000  QA_rec 0 1 0 8
