run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,Pause_cont.started,Pause_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,0,0,0,0,Please remain seated until further instruction via the earphone.,51.5860071182251,None,261.0630440711975,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",261.0630440711975,None,261.0473787307739,None,"Please keep relaxed and close your eyes.
",284.0808880329132,464.09020590782166,467.45717191696167,None,481.4744338989258,None," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - Silent sound (blank): censored word            
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",481.4744338989258,None,481.45939626693723,None,520.8763239383698,None,Listen to the question and speak out your answer!,523.9446029663086,None,523.9446371555329,525.9603049755096,Diesen Irrtum musste er teuer bezahlen.,bezahlen,525.3264867305755,None,528.1100465297699,None,540.5273725032806,541.527510881424,541.9273760318756,542.9274408817291,./data/Subject_02/Session_03/Exp_data/2020_Aug_02_1134/rec_QA_run_00_block_000_trial_000.wav,02,03,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_02_1134,nibs_stage_1,3.2.3,60.0023747430342,
0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,544.978492975235,None,544.9785415649413,546.9777669906616,"Ich habe den Knopf gedrückt, um die Kaffeemaschine einzuschalten.",gedrückt,546.3609735012054,None,550.5111855506897,551.5112330913544,561.5617555618286,None,562.9618260860443,563.9618129730225,./data/Subject_02/Session_03/Exp_data/2020_Aug_02_1134/rec_QA_run_00_block_000_trial_001.wav,02,03,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_02_1134,nibs_stage_1,3.2.3,60.0023747430342,
0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,566.0454480648041,None,566.0295892715454,568.0287470817566,"Wir sollten in den Bus einsteigen, bevor er abfährt.",einsteigen,567.4122835636139,570.4788799285889,570.8956135749817,None,582.6129645347595,None,584.012904882431,585.0129599571228,./data/Subject_02/Session_03/Exp_data/2020_Aug_02_1134/rec_QA_run_00_block_000_trial_002.wav,02,03,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_02_1134,nibs_stage_1,3.2.3,60.0023747430342,
0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,587.0636789798737,None,587.0473850250244,589.0464270114899,Der Test dauert nur fünfzehn Minuten.,dauert,588.4464715957641,None,591.2640036582947,None,603.6478036880493,None,605.0475618839264,606.0479459762573,./data/Subject_02/Session_03/Exp_data/2020_Aug_02_1134/rec_QA_run_00_block_000_trial_003.wav,02,03,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_02_1134,nibs_stage_1,3.2.3,60.0023747430342,
0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,608.0987861156464,None,608.0990466594695,610.1144959926605,Die Eltern haben das Geburtstagsgeschenk ihrer Tochter eingepackt.,eingepackt,609.4813286304474,613.4146599769592,613.831346654892,None,624.6818326950073,None,626.081955909729,627.0820260047913,./data/Subject_02/Session_03/Exp_data/2020_Aug_02_1134/rec_QA_run_00_block_000_trial_004.wav,02,03,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_02_1134,nibs_stage_1,3.2.3,60.0023747430342,
0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,629.1494629383087,None,629.1331266880035,631.1322190761566,Der Präsident diskutierte das Thema auf der Pressekonferenz nicht.,diskutierte,630.5155836582184,None,635.1491426467895,None,645.7163385391235,None,647.1163210868835,648.1164469718933,./data/Subject_02/Session_03/Exp_data/2020_Aug_02_1134/rec_QA_run_00_block_000_trial_005.wav,02,03,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_02_1134,nibs_stage_1,3.2.3,60.0023747430342,
0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,650.2006359100342,None,650.1842226505279,652.1833169460297,"Keine Sorge, ich werde mich um Ihr Kind kümmern.",kümmern,651.5666686534881,654.4001019001007,654.8001376628876,None,666.7674147129059,None,668.1674780845642,669.1675519943237,./data/Subject_02/Session_03/Exp_data/2020_Aug_02_1134/rec_QA_run_00_block_000_trial_006.wav,02,03,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_02_1134,nibs_stage_1,3.2.3,60.0023747430342,
0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,671.2344660758972,None,671.2186220169067,673.2177491188049,Der Ton macht die Musik.,macht,672.6179005146026,674.2345080375671,674.6513387203216,None,687.8185307025909,688.8185889720917,689.218759059906,690.2186150550842,./data/Subject_02/Session_03/Exp_data/2020_Aug_02_1134/rec_QA_run_00_block_000_trial_007.wav,02,03,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_02_1134,nibs_stage_1,3.2.3,60.0023747430342,
0,0,0,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,692.2685170173645,None,692.2530401229858,694.2521770000458,"Die Firma hat einen Fachmann hinzugezogen, um das Netzwerk zu reparieren.",reparieren,693.6521936893463,None,698.8190695285797,699.8191359043121,708.8362506866455,None,710.2369658946991,711.236407995224,./data/Subject_02/Session_03/Exp_data/2020_Aug_02_1134/rec_QA_run_00_block_000_trial_008.wav,02,03,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_02_1134,nibs_stage_1,3.2.3,60.0023747430342,
0,0,0,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,713.3030240535736,None,713.2873931407928,715.3030259609222,"Der Mann läuft zu schell, um die Post zu schicken.",schicken,714.6696816921234,717.5032770633698,717.9197515487671,None,729.8706907272339,730.8709440231323,731.270791053772,732.2708010673523,./data/Subject_02/Session_03/Exp_data/2020_Aug_02_1134/rec_QA_run_00_block_000_trial_009.wav,02,03,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_02_1134,nibs_stage_1,3.2.3,60.0023747430342,
