run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,1,0,1,0,0,0,0,0,65.13547706604004,None," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - Silent sound (blank): censored word            
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",65.13547706604004,None,65.11738061904907,None,104.52080917358398,None,Listen to the question and speak out your answer!,107.78732705116272,None,107.77000780105591,109.77075600624084,Die Polizei sammelte alle verfügbaren Informationen.,sammelte,109.17074222564698,112.85422897338867,113.25425333976746,None,124.37145729064942,None,125.7881920337677,None,./data/Subject_05/Session_02/Exp_data/2020_Aug_17_1119/rec_QA_run_00_block_001_trial_000.wav,05,02,Norwegian,A2,True,False,True,False,False,False,False,False,True,False,True,True,No,0,No,1,No,No,2020_Aug_17_1119,nibs_stage_1,3.2.3,59.99628090070863,
0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,Listen to the question and speak out your answer!,128.8223249912262,None,128.80464453697203,130.8218641281128,"Die Deutschen sind immer organisiert und werden alles planen, bevor sie irgendetwas tun.",planen,130.20500440597533,135.28863501548767,135.67203135490416,136.688707113266,145.40580339431762,None,146.82248997688293,None,./data/Subject_05/Session_02/Exp_data/2020_Aug_17_1119/rec_QA_run_00_block_001_trial_001.wav,05,02,Norwegian,A2,True,False,True,False,False,False,False,False,True,False,True,True,No,0,No,1,No,No,2020_Aug_17_1119,nibs_stage_1,3.2.3,59.99628090070863,
0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,Listen to the question and speak out your answer!,149.8564260005951,None,149.8389214992523,151.85605812072754,"Sie beschrieb der Polizei den Dieb so genau, dass diese ihn festnehmen konnnte.",beschrieb,151.23926825523375,155.72289299964905,156.1061563014984,None,166.42351431846618,None,167.84009408950806,None,./data/Subject_05/Session_02/Exp_data/2020_Aug_17_1119/rec_QA_run_00_block_001_trial_002.wav,05,02,Norwegian,A2,True,False,True,False,False,False,False,False,True,False,True,True,No,0,No,1,No,No,2020_Aug_17_1119,nibs_stage_1,3.2.3,59.99628090070863,
0,0,0,0,1,0,1,0,3,0,3,0,,,,,,,,,,Listen to the question and speak out your answer!,170.8735270500183,None,170.85655755996703,172.87357807159424,Man kann oft aus Fehlern lernen.,lernen,172.25697321891784,174.2070541381836,174.59042019844054,None,187.45757241249083,188.47422218322754,188.87437295913696,None,./data/Subject_05/Session_02/Exp_data/2020_Aug_17_1119/rec_QA_run_00_block_001_trial_003.wav,05,02,Norwegian,A2,True,False,True,False,False,False,False,False,True,False,True,True,No,0,No,1,No,No,2020_Aug_17_1119,nibs_stage_1,3.2.3,59.99628090070863,
0,0,0,0,1,0,1,0,4,0,4,0,,,,,,,,,,Listen to the question and speak out your answer!,191.9077501296997,None,191.8907365322113,193.9078769683838,"Bevor man ein Haus baut, zeichnet der Architekt einen Plan.",zeichnet,193.2911612510681,196.90801310539246,197.29136629104613,198.30805802345276,208.4917923927307,None,209.90865015983582,None,./data/Subject_05/Session_02/Exp_data/2020_Aug_17_1119/rec_QA_run_00_block_001_trial_004.wav,05,02,Norwegian,A2,True,False,True,False,False,False,False,False,True,False,True,True,No,0,No,1,No,No,2020_Aug_17_1119,nibs_stage_1,3.2.3,59.99628090070863,
0,0,0,0,1,0,1,0,5,0,5,0,,,,,,,,,,Listen to the question and speak out your answer!,212.94238996505737,None,212.92496557235717,214.9421730041504,"Ich ging zum Arzt, weil ich mich unangenehm fühlte.",fühlte,214.32550830841063,217.50924706459045,217.8923072338104,None,229.52615423202514,230.54297709465027,230.94279718399048,None,./data/Subject_05/Session_02/Exp_data/2020_Aug_17_1119/rec_QA_run_00_block_001_trial_005.wav,05,02,Norwegian,A2,True,False,True,False,False,False,False,False,True,False,True,True,No,0,No,1,No,No,2020_Aug_17_1119,nibs_stage_1,3.2.3,59.99628090070863,
0,0,0,0,1,0,1,0,6,0,6,0,,,,,,,,,,Listen to the question and speak out your answer!,233.9768180847168,None,233.95932645797728,235.976487159729,Ich konnte die Lärmquelle finden.,finden,235.35993428230285,237.37653398513794,237.75989933013915,None,250.56046123504638,None,251.9773621559143,None,./data/Subject_05/Session_02/Exp_data/2020_Aug_17_1119/rec_QA_run_00_block_001_trial_006.wav,05,02,Norwegian,A2,True,False,True,False,False,False,False,False,True,False,True,True,No,0,No,1,No,No,2020_Aug_17_1119,nibs_stage_1,3.2.3,59.99628090070863,
0,0,0,0,1,0,1,0,7,0,7,0,,,,,,,,,,Listen to the question and speak out your answer!,255.04429411888123,None,255.027020072937,257.04411816596985,Können Sie mir einen guten Augenarzt empfehlen?,empfehlen,256.42741532325743,None,259.6275872707367,260.6442840099335,271.62823338508605,None,273.0448331832886,None,./data/Subject_05/Session_02/Exp_data/2020_Aug_17_1119/rec_QA_run_00_block_001_trial_007.wav,05,02,Norwegian,A2,True,False,True,False,False,False,False,False,True,False,True,True,No,0,No,1,No,No,2020_Aug_17_1119,nibs_stage_1,3.2.3,59.99628090070863,
0,0,0,0,1,0,1,0,8,0,8,0,,,,,,,,,,Listen to the question and speak out your answer!,276.0952570438385,None,276.0779336929321,278.0951180458069,Linda trinkt lieber eine heiße Schokolade.,trinkt,277.47839136123656,None,280.6452362060547,281.6619441509247,292.6791142940521,293.69581508636475,294.0958499908447,None,./data/Subject_05/Session_02/Exp_data/2020_Aug_17_1119/rec_QA_run_00_block_001_trial_008.wav,05,02,Norwegian,A2,True,False,True,False,False,False,False,False,True,False,True,True,No,0,No,1,No,No,2020_Aug_17_1119,nibs_stage_1,3.2.3,59.99628090070863,
0,0,0,0,1,0,1,0,9,0,9,0,,,,,,,,,,Listen to the question and speak out your answer!,297.1465401649475,None,297.12904276847837,299.1460871696472,Ich surfe gern im Internet und chatte mit Freunden.,chatte,298.5293902873993,None,302.0629033565521,None,313.73009128570556,None,315.1470191478729,None,./data/Subject_05/Session_02/Exp_data/2020_Aug_17_1119/rec_QA_run_00_block_001_trial_009.wav,05,02,Norwegian,A2,True,False,True,False,False,False,False,False,True,False,True,True,No,0,No,1,No,No,2020_Aug_17_1119,nibs_stage_1,3.2.3,59.99628090070863,
